36th Parliament, 1st Session
PR38	Waterloo-Guelph Regional Airport Act, 1995	
Leadston, Gary L.
38	Toronto Islands Amendment Act, 1996	
Leach, Hon. Allan F. Minister of Municipal Affairs and Housing
39	Ontario Highway Transport Board and Public Vehicles Amendment Act, 1996	
Palladini, Hon. Al Minister of Transportation
PR39	Canadian Life Line Limited Act, 1995	
Kwinter, Monte
40	Locksmiths Licensing Act, 1996	
Hastings, John
PR40	Association of Architectural Technologists of Ontario Act, 1996	
Hastings, John
41	Patients' Bill of Rights, 1996	
Caplan, Elinor
PR41	Scarborough Act, 1996 - City of	
Newman, Dan
42	MPPs Pension and Compensation Reform Act, 1996	
Eves, Hon. Ernie Minister of Finance
PR42	Ottawa Act, 1996 - City of	
Guzzo, Garry J.
43	Supply Act, 1996	
Eves, Hon. Ernie Minister of Finance
PR43	1092040 Ontario Inc. Act, 1996	
McGuinty, Dalton
44	Election Amendment Act, 1996	
Eves, Hon. Ernie Deputy Premier
PR44	York Act, 1995 - City of	
Colle, Mike
45	Ontario Institute for Studies in Education Repeal Act, 1996	
Snobelen, Hon. John Minister of Education and Training
PR45	Anglo Canada General Insurance Company Act, 1996	
Wood, Bob
46	Ministry of Agriculture, Food and Rural Affairs Statute Law Amendment Act, 1996	
Villeneuve, Hon. Noble Minister of Agriculture, Food and Rural Affairs
PR46	Sidney Act, 1995 - Township of	
Rollins, E.J. Douglas
47	Tax Cut and Economic Growth Act, 1996	
Eves, Hon. Ernie Minister of Finance
PR47	Ottawa Act, 1996 - City of	
Grandmaître, Bernard C.
48	International Fuel Tax Agreement Implementation Act, 1996	
Johnson, Hon. David John Chair of the Management Board of Cabinet
PR48	Ottawa Act, 1996 - City of	
Grandmaître, Bernard C.
49	Employment Standards Improvement Act, 1996	
Witmer, Hon. Elizabeth Minister of Labour
PR49	Oshawa Act (Oshawa Transit Commission), 1995 - City of	
Flaherty, Jim
50	Trade Union and Employees Association Financial Disclosure Act, 1996	
Shea, Derwyn
PR50	Milton Act, 1996 - Town of	
Chudleigh, Ted
51	Municipal Amendment Act, 1996	
Ruprecht, Tony
PR51	Hamilton Act, 1997 - City of	
Christopherson, David
52	Aggregate and Petroleum Resources Statute Law Amendment Act, 1996	
Hodgson, Hon. Chris Minister of Natural Resources, Northern Development and Mines
PR53	Association of Ontario Road Superintendents Act, 1996	
Arnott, Ted
53	Labour Union and Employees Association Financial Accountability Act, 1996	
Gilchrist, Steve
54	Safety and Consumer Statutes Administration Act, 1996	
Sterling, Hon. Norman W. Minister of Consumer and Commercial Relations
PR54	Toronto Act (Traffic Calming), 1996 - City of	
Bassett, Isabel
PR55	Toronto Act, 1996 - City of	
Bassett, Isabel
55	Road Safety Act, 1996	
Palladini, Hon. Al Minister of Transportation
56	Importation of Waste Statute Law AmendmentAct, 1996	
Ramsay, David
PR56	Association of Registered Graphic Designers of Ontario Act, 1996	
Marland, Margaret
57	Environmental Approvals Improvement Act, 1997	
Sterling, Hon. Norman W. Minister of Environment and Energy
58	Education Amendment Act (Co-operation Among Boards), 1996	
Wildman, Charles "Bud" Jackson
PR58	Lions Foundation of Canada Act, 1996	
Carr, Gary
59	Automobile Insurance Rate Stability Act, 1996	
Eves, Hon. Ernie Minister of Finance
PR59	Kingston Act, 1996 - City of	
Gerretsen, John
60	Construction Workforce from Quebec Act, 1996	
Lalonde, Jean-Marc
PR60	Brantford Act, 1996 - City of	
Johnson, Ron
61	Government Process Simplification Act (Ministry of the Attorney General), 1996	
Harnick, Hon. Charles Attorney General
PR61	Richmond Hill Act, 1996 - Town of	
Klees, Frank
PR62	Delzap Construction Limited Act, 1996	
Stockwell, Chris
62	Endangered, Threatened and Vulnerable Species Act, 1996	
Wildman, Charles "Bud" Jackson
PR63	Bank of Nova Scotia Trust Company Act, 1997	
Bassett, Isabel
63	Government Process Simplification Act (Ministry of Citizenship, Culture and Recreation), 1996	
Bassett, Hon. Isabel Minister of Citizenship, Culture and Recreation
PR64	National Ballet of Canada Act, 1997	
Bassett, Isabel
64	Government Process Simplification Act (Ministry of Consumer and Commercial Relations), 1996	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
PR65	Hamilton Act (Licensing Committee), 1997 - City of	
Ross, Lillian
65	Government Process Simplification Act (Ministry of Economic Development, Trade and Tourism), 1996	
Palladini, Hon. Al Minister of Economic Development, Trade and Tourism
PR66	Toronto Act, 1996 - City of	
Bassett, Isabel
66	Government Process Simplification Act (Ministry of Environment and Energy), 1996	
Sterling, Hon. Norman W. Minister of Environment and Energy
PR67	Ontario Plumbing Inspectors Association Inc. Act, 1996	
Cleary, John
67	Government Process Simplification Act (Ministry of Health), 1996	
Wilson, Hon. Jim Minister of Health
PR68	Huronia Airport Commission Act, 1996	
Grimmett, William Lawrence
68	Government Process Simplification Act (Ministry of Northern Development and Mines), 1996	
Hodgson, Hon. Chris Minister of Northern Development and Mines
PR69	City of Sarnia Act, 1997	
Boushy, Dave
69	Government Process Simplification Act (Ministries of the Solicitor General and Correctional Services), 1996	
Runciman, Hon. Robert W. Solicitor General and Minister of Correctional Services
PR70	St. Catharines General Hospital Act, 1997	
Froese, Tom
70	Tax Credits and Economic Stimulation Act, 1996	
Eves, Hon. Ernie Minister of Finance
PR71	Kitchener and Waterloo Act, 1996 - Cities of	
Leadston, Gary L.
71	Crown Foundations Act, 1996	
Eves, Hon. Ernie Minister of Finance
PR72	University of St. Jerome's College Act, 1996	
Wettlaufer, Wayne
72	Highway Traffic Amendment Act, 1996	
Kormos, Peter
PR73	Ottawa Act, 1997 - City of	
Grandmaître, Bernard C.
73	Municipal Amendment Act (Expense Allowances), 1996	
Shea, Derwyn
PR74	4588 Bathurst Act, 1997	
Bassett, Isabel
74	Audit Amendment Act, 1996	
Grandmaître, Bernard C.
PR75	750 Spadina Avenue Association Act, 1997	
Bassett, Isabel
75	Alcohol, Gaming and Charity Funding Public Interest Act, 1996	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
PR76	Windsor Utilities Commission Act, 1996	
Pupatello, Sandra
76	Environmental Assessment and Consultation Improvement Act, 1996	
Sterling, Hon. Norman W. Minister of Environment and Energy
77	Workers' Pension Bill of Rights, 1996	
Hampton, Howard
78	Highway Traffic Amendment Act, 1996	
Hoy, Pat
PR78	Scarborough Act, 1997 - City of	
Newman, Dan
79	Courts Improvement Act, 1996	
Harnick, Hon. Charles Attorney General
PR80	Young Women's Christian Association of Niagara Falls Act, 1997	
Maves, Bart
80	Juvenile Delinquents Act (Ontario), 1996	
Brown, Jim
PR81	Chinese Cultural Centre of Greater Toronto Foundation Act, 1997	
Curling, Alvin
81	Fewer Politicians Act, 1996	
Johnson, Hon. David John Chair of the Management Board of Cabinet
PR82	Ontario Association of Not-For-Profit Credit Counselling Services Act, 1997	
Crozier, Bruce
82	Family Responsibility and Support Arrears Enforcement Act, 1996	
Harnick, Hon. Charles Attorney General
PR83	Municipal Law Enforcement Officers' Association (Ontario) Inc. Act, 1997	
Tascona, Joseph N.
83	Consumer Protection Amendment Act, 1996	
Crozier, Bruce
PR84	Japanese Canadian Cultural Centre Act, 1997	
Turnbull, David
84	Fire Protection and Prevention Act, 1997	
Runciman, Hon. Robert W. Solicitor General and Minister of Correctional Services
85	Highway Traffic Amendment Act (Impaired Driving), 1996	
Marland, Margaret
86	Better Local Government Act, 1996	
Leach, Hon. Allan F. Minister of Municipal Affairs and Housing
PR86	Scarborough Entertainment and Convention Corporation Act, 1997	
Brown, Jim
PR87	Korean Canadian Cultural Association of Metropolitan Toronto Act, 1997	
Brown, Jim
87	Health Insurance Amendment Act, 1996	
Duncan, Dwight
88	City of Hamilton Amendment Act, 1996	
Agostino, Dominic
PR88	Lansing Co-operative Nursery School Act, 1997	
Turnbull, David
PR89	City of Brampton Act, 1997	
Spina, Joe
89	Accountability Improvement Act, 1996	
Maves, Bart
90	Ontario College of Early Childhood Educators Act, 1996	
McLeod, Lyn
PR90	York Act, 1997 - City of	
Colle, Mike
PR91	London Community Foundation Act, 1997	
Wood, Bob
91	Health Care Consent Amendment Act (Parental Consultation), 1996	
Klees, Frank
92	Road Safety Act, 1996 (No. 2)	
Palladini, Hon. Al Minister of Transportation
93	Good Financial Management Act, 1996	
Eves, Hon. Ernie Minister of Finance
PR94	Jamaican Canadian Association Act, 1997	
Sergio, Mario
94	Child and Family Services Amendment Act, 1996	
Gerretsen, John
95	Boxing Day Shopping Act, 1996	
Runciman, Hon. Robert W. Solicitor General and Minister of Correctional Services
PR95	Institute for Advanced Judaic Studies Act, 1997	
Cordiano, Joseph
PR96	Tamil Eelam Society of Canada Act, 1997	
Brown, Jim
96	Tenant Protection Act, 1996	
Leach, Hon. Allan F. Minister of Municipal Affairs and Housing
97	Alternative Fuels Act, 1996	
McGuinty, Dalton
98	Development Charges Act, 1997	
Leach, Hon. Allan F. Minister of Municipal Affairs and Housing
99	Workers' Compensation Reform Act, 1996	
Witmer, Hon. Elizabeth Minister of Labour
100	Highway Traffic Amendment Act (Impaired Driving), 1996	
Brown, Jim
101	Franchises' Arbitrations Act, 1996	
Chiarelli, Bob
102	Community Safety Act, 1996	
Runciman, Hon. Robert W. Solicitor General and Minister of Correctional Services
103	City of Toronto Act, 1997	
Leach, Hon. Allan F. Minister of Municipal Affairs and Housing
104	Fewer School Boards Act, 1997	
Snobelen, Hon. John Minister of Education and Training
105	Police Services Amendment Act, 1997	
Runciman, Hon. Robert W. Solicitor General and Minister of Correctional Services
106	Fair Municipal Finance Act, 1997	
Eves, Hon. Ernie Minister of Finance
107	Water and Sewage Services Improvement Act, 1997	
Sterling, Hon. Norman W. Minister of Environment and Energy
108	Streamlining of Administration of Provincial Offences Act, 1997	
Harnick, Hon. Charles Attorney General
109	Local Control of Public Libraries Act, 1997	
Bassett, Hon. Isabel Minister of Citizenship, Culture and Recreation
110	School Class Sizes Act, 1997	
Bartolucci, Rick
111	Mental Health Amendment Act, 1997	
Patten, Richard
112	Remembrance Day Observance Act, 1997	
Kells, Morley
113	Lennox and Addington County Board of Education and Teachers Dispute Settlement Act, 1997	
Snobelen, Hon. John Minister of Education and Training
114	Red Tape Reduction Act (Ministry of Citizenship, Culture and Recreation), 1997	
Bassett, Hon. Isabel Minister of Citizenship, Culture and Recreation
115	Red Tape Reduction Act (Ministry of Finance), 1997	
Eves, Hon. Ernie Minister of Finance
116	Red Tape Reduction Act (Ministry of Agriculture, Food and Rural Affairs), 1997	
Villeneuve, Hon. Noble Minister of Agriculture, Food and Rural Affairs
117	Red Tape Reduction Act (Ministry of Consumer and Commercial Relations), 1997	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
118	Red Tape Reduction Act (Ministry of Health), 1997	
Witmer, Hon. Elizabeth Minister of Health
119	Red Tape Reduction Act (Ministry of Natural Resources), 1997	
Snobelen, Hon. John Minister of Natural Resources
120	Red Tape Reduction Act (Ministry of Northern Development and Mines), 1997	
Hodgson, Hon. Chris Minister of Northern Development and Mines
121	Red Tape Reduction Act (Ministry of Environment and Energy), 1997	
Wilson, Hon. Jim Minister of Energy, Science and Technology
122	Red Tape Reduction Act (Ministry of the Attorney General), 1997	
Harnick, Hon. Charles Attorney General
123	Legislative Assembly of Ontario Foundation Act, 1997	
Leadston, Gary L.
124	Education Amendment Act, 1997	
Bartolucci, Rick
125	Wheel Safety Act, 1997	
Clement, Hon. Tony Minister of Transportation
126	Medicine Amendment Act, 1997	
Kwinter, Monte
127	Expanded Nursing Services for Patients Act, 1997	
Wilson, Hon. Jim Minister of Health
128	Uniform Federal and Provincial Child Support Guidelines Act, 1997	
Harnick, Hon. Charles Attorney General
129	Job Growth and Tax Reduction Act, 1997	
Eves, Hon. Ernie Minister of Finance
130	Courts of Justice and Ministry of Correctional Services Statute Law Amendment Act, 1997	
Ouellette, Jerry J.
131	Employees' Rights and Freedoms Act, 1997	
Sheehan, Frank
132	Tartan Act, 1997	
Ross, Lillian
133	Worona, Tyrrell, Campbell and Jessiman Truck Safety Act, 1997	
Duncan, Dwight
134	Zero Tolerance for Substance Abuse Act, 1997	
Young, Terence H.
135	Regional Municipality of Waterloo Amendment Act, 1997	
Leach, Hon. Allan F. Minister of Municipal Affairs and Housing
136	Public Sector Transition Stability Act, 1997	
Witmer, Hon. Elizabeth Minister of Labour
137	Highway Traffic Amendment Act (school buses), 1997	
Froese, Tom
138	Comprehensive Road Safety Act, 1997	
Palladini, Hon. Al Minister of Transportation
139	Fish and Wildlife Conservation Act, 1997	
Snobelen, Hon. John Minister of Natural Resources
140	Financial Services Commission of Ontario Act, 1997	
Eves, Hon. Ernie Minister of Finance
141	Municipal Amendment Act, 1997	
Guzzo, Garry J.
142	Social Assistance Reform Act, 1997	
Ecker, Hon. Janet Minister of Community and Social Services
143	Supply Act, 1997	
Eves, Hon. Ernie Minister of Finance
144	City of Toronto Amendment Act, 1997	
Lankin, Frances
145	Protection against Pedophiles Act, 1997	
Brown, Jim
146	Farming and Food Production Protection Act, 1998	
Villeneuve, Hon. Noble Minister of Agriculture, Food and Rural Affairs
147	Municipal Amendment Act (by-laws respecting dress codes), 1997	
Brown, Jim
148	City of Toronto Act, 1997 (No. 2)	
Leach, Hon. Allan F. Minister of Municipal Affairs and Housing
149	Fair Municipal Finance Act, 1997 (No. 2)	
Eves, Hon. Ernie Minister of Finance
150	United Empire Loyalists' Day Act, 1997	
Danford, Harry
151	Lynde Marsh Protection Act, 1997	
Flaherty, Jim
152	Services Improvement Act, 1997	
Ecker, Hon. Janet Minister of Community and Social Services
153	Ontario Society for the Prevention of Cruelty to Animals Amendment Act, 1997	
Bassett, Isabel
154	Highway Traffic Amendment Act (licence suspensions), 1997	
Grimmett, William Lawrence
155	Victims of Violent Crime Commemoration Week Act, 1997	
Baird, John R.
156	Regional Municipality of Sudbury Statute Law Amendment Act, 1997	
Bartolucci, Rick
157	Marriage Amendment Act, 1997	
Wood, Bob
158	Education Voting Rights Act (Cottagers and others), 1997	
Snobelen, Hon. John Minister of Education and Training
159	Exotic Animals Control Act, 1997	
Parker, John L.
160	Education Quality Improvement Act, 1997	
Johnson, Hon. David John Minister of Education and Training
161	Fairness for Parents and Employees Act (Teachers’ Withdrawal of Services), 1997	
Flaherty, Hon. Jim Minister of Labour
162	Veterans' Memorial Parkway Act, 1997	
Baird, John R.
163	Ontario Lottery Corporation Amendment Act, 1997	
Morin, Gilles E.
164	Tax Credits to Create Jobs Act, 1997	
Eves, Hon. Ernie Minister of Finance
165	Human Rights Code Amendment Act (Equal Opportunity in the Municipal and Non-Profit Sectors), 1997	
Hastings, John
166	Good Samaritan Act, 1997	
Gilchrist, Steve
167	Geographic Township of Creighton-Davies Act, 1997	
Laughren, Floyd
168	Bill 160 Repeal Act, 1997	
Hampton, Howard
169	Family Law Amendment Act, 1997	
Tilson, David Allan
170	Milk Amendment Act, 1997	
Villeneuve, Hon. Noble Minister of Agriculture, Food and Rural Affairs
171	Highway Traffic Amendment Act (driver training course), 1997	
Wettlaufer, Wayne
172	Toronto Hospital Act, 1997	
Gilchrist, Steve
173	Fuel and Gasoline Tax Amendment Act, 1997	
Hodgson, Hon. Chris Chair of the Management Board of Cabinet
174	Northern Services Improvement Act, 1997	
Hodgson, Hon. Chris Chair of the Management Board of Cabinet
175	Supply Act, 1997	
Eves, Hon. Ernie Minister of Finance
176	Metropolitan Toronto Marine Environment Protection Zone Act, 1997	
Brown, Jim
177	Environmental Protection Amendment Act, 1997	
Carroll, Jack
178	Technology for Classrooms Tax Credit Act, 1997	
Hastings, John

36th Parliament, 2nd Session
Bill title search
No.	Bill title	Sponsor
1	An Act to perpetuate an Ancient Parliamentary Right	
Harris, Hon. Michael Premier
2	Medicine Amendment Act, 1998	
Kwinter, Monte
3	Labour Union and Employees Association Financial Accountability Act, 1998	
Gilchrist, Steve
4	Highway Traffic Amendment Act (drivers' licences of certain school pupils), 1998	
Wettlaufer, Wayne
5	Highway Traffic Amendment Act (licence suspensions), 1998	
Grimmett, William Lawrence
6	Partnerships Statute Law Amendment Act, 1998	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
PR7	Maimonides Schools for Jewish Studies Act, 1998	
Ross, Lillian
7	City of Toronto Amendment Act, 1998	
Lankin, Frances
PR8	West Lambton Electric Commission Act, 1998	
Boushy, Dave
8	Irish Heritage Day Act, 1998	
O'Toole, John
9	Taxpayers Savings Municipal Amendment Act (Ottawa-Carleton Region), 1998	
Guzzo, Garry J.
10	Veterans' Memorial Parkway Act, 1998	
Baird, John R.
11	Endangered, Threatened and Vulnerable Species Act, 1998	
Wildman, Charles "Bud" Jackson
12	Northern Services Improvement Act, 1998	
Hodgson, Hon. Chris Minister of Northern Development and Mines
13	Crackdown on Illegal Waste Dumping Act, 1998	
Wildman, Charles "Bud" Jackson
14	Municipal Amendment Act (Simcoe Day), 1998	
Gilchrist, Steve
PR14	Ross Memorial Hospital Act, 1998	
Stewart, Gary
15	Tax Cuts for People and for Small Business Act, 1998	
Eves, Hon. Ernie Minister of Finance
PR15	Kitchener Act, 1998 - City of	
Wettlaufer, Wayne
16	Small Business and Charities Protection Act, 1998	
Eves, Hon. Ernie Minister of Finance
17	Downloading and French language Rights Act, 1998	
Bisson, Gilles
PR17	Redeemer Reformed Christian College Act, 1998	
Skarica, Toni
18	Protection of Children involved in Prostitution Act, 1998	
Bartolucci, Rick
PR18	Eastern Pentecostal Bible College Act, 1998	
Stewart, Gary
19	Parental Responsibility Act, 1998	
McLean, Allan Kenneth
PR19	Chatham-Kent Act, 1998, Municipality of	
Carroll, Jack
20	Red Light Camera Act, 1998	
Colle, Mike
PR20	Peterborough General Hospital Act, 1998	
Stewart, Gary
21	Safe Schools Act, 1998	
Newman, Dan
PR21	Canadian Information Processing Society of Ontario Act, 1998	
Saunderson, William J.
22	Prevention of Unionization Act (Ontario Works), 1998	
Ecker, Hon. Janet Minister of Community and Social Services
PR22	Kingston Act, 1998, City of	
Gerretsen, John
23	Intercountry Adoption (The Hague Convention) Act, 1998	
Cordiano, Joseph
PR23	Richmond Hill Act, 1998, Town of	
Klees, Frank
24	Technology for Classrooms Tax Credit Act, 1998	
Hastings, John
PR25	Ontario Association of Certified Engineering Technicians and Technologists Act, 1998	
Baird, John R.
25	Red Tape Reduction Act, 1998	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
26	Highway Traffic Amendment Act (Community Safety Zones), 1998	
Flaherty, Hon. Jim Interim Solicitor General and Minister of Correctional Services
27	Children's Law Reform Amendment Act, 1998	
Hastings, John
28	Child Care Supplement Information Collection Act, 1998	
Eves, Hon. Ernie Minister of Finance
29	Ontario College of Teachers Amendment Act, 1998	
Wildman, Charles "Bud" Jackson
30	Zero Tolerance for Substance Abuse Act, 1998	
Young, Terence H.
31	Economic Development and Workplace Democracy Act, 1998	
Flaherty, Hon. Jim Minister of Labour
32	Greater Hamilton Area Municipal Restructuring Act, 1998	
Skarica, Toni
33	School Class Sizes Act, 1998	
Bartolucci, Rick
34	Environmental Protection Amendment Act, 1998	
Carroll, Jack
35	Energy Competition Act, 1998	
Wilson, Hon. Jim Minister of Energy, Science and Technology
36	Election Statute Law Amendment Act, 1998	
Hodgson, Hon. Chris Chair of the Management Board of Cabinet
37	Ontario Agriculture Week Act, 1998	
Johnson, Bert
38	Condominium Act, 1998	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
39	Access to Adoption Information Statute Law Amendment Act, 1998	
Cullen, Alex
40	Municipal Amendment Act (Hamilton-Wentworth Restructuring), 1998	
Agostino, Dominic
41	City of Toronto Amendment Act, 1998	
Lankin, Frances
42	Terry Fox Day Act, 1998	
Ouellette, Jerry J.
43	Giovanni Caboto Day Act, 1998	
Brown, Jim
44	City of Toronto Amendment Act, 1998	
Lankin, Frances
45	Victims of Violent Crime Week Act, 1998	
Baird, John R.
46	Emancipation Day Act, 1998	
Brown, Jim
47	Protection of Children on School Buses Act, 1998	
Hoy, Pat
48	Courts of Justice Amendment Act (Improved Family Court), 1998	
Harnick, Hon. Charles Attorney General
49	Gordie Kirwan Education Amendment Act (Exceptional Pupils), 1998	
McGuinty, Dalton
50	Health Care Accountability and Patients' Bill of Rights Act, 1998	
Boyd, Marion
51	Sunnybrook and Women's College Health Sciences Centre Act, 1998	
Witmer, Hon. Elizabeth Minister of Health
52	Juvenile Delinquents Act (Ontario), 1998	
Brown, Jim
53	Law Society Amendment Act, 1998	
Harnick, Hon. Charles Attorney General
54	Health Insurance Amendment Act, 1998	
Duncan, Dwight
55	Apprenticeship and Certification Act, 1998	
Johnson, Hon. David John Minister of Education and Training
56	Greater Toronto Services Board Act, 1998	
Leach, Hon. Allan F. Minister of Municipal Affairs and Housing
57	Liquor Licence Amendment Act, 1998	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
58	Ontario Heritage Amendment Act, 1998	
Gilchrist, Steve
59	Highway Traffic Amendment Act (Licence Suspensions), 1998	
Grimmett, William Lawrence
60	Income Tax Amendment Act (Expense Allowances of Members of Parliament and Senators), 1998	
Gilchrist, Steve
61	Property Tax Deadline Extension Act, 1998	
Eves, Hon. Ernie Minister of Finance
62	Back to School Act, 1998	
Johnson, Hon. David John Minister of Education and Training
63	Instruction Time: Minimum Standards Act, 1998	
Johnson, Hon. David John Minister of Education and Training
64	Ministerial Travel Accountability Act, 1998	
Bartolucci, Rick
65	Ontario College of Teachers Amendment Act, 1998	
Wildman, Charles "Bud" Jackson
66	Holocaust Memorial Day Act, 1998	
Chudleigh, Ted
67	German Pioneers Day Act, 1998	
Wettlaufer, Wayne
68	Legal Aid Services Act, 1998	
Harnick, Hon. Charles Attorney General
69	Integrity Commissioner and Lobbyists Statute Law Amendment Act, 1998	
Hodgson, Hon. Chris Chair of the Management Board of Cabinet
70	Highway 407 Act, 1998	
Sampson, Hon. Rob Minister Without Portfolio
71	Professional Foresters Act, 1998	
Ramsay, David
72	Intercountry Adoption Act, 1998	
Ecker, Hon. Janet Minister of Community and Social Services
73	Child and Family Services Amendment Act (Child Welfare Reform), 1998	
Ecker, Hon. Janet Minister of Community and Social Services
74	Fuel and Gasoline Tax Amendment Act, 1998	
Hodgson, Hon. Chris Chair of the Management Board of Cabinet
75	Emergency Volunteers Protection Act, 1998	
Arnott, Ted
76	Social Work and Social Service Work Act, 1998	
Ecker, Hon. Janet Minister of Community and Social Services
77	City of Toronto XXIX Summer Olympic Games Bid Endorsement Act, 1998	
Kells, Morley
78	Mental Health Amendment Act, 1998	
Patten, Richard
79	Fairness for Property Taxpayers Act, 1998	
Eves, Hon. Ernie Minister of Finance
80	Saving Local Government in Norfolk and Haldimand Act, 1998	
Barrett, Toby
81	Tax Credits and Revenue Protection Act, 1998	
Eves, Hon. Ernie Minister of Finance
82	Environmental Statute Law Amendment Act, 1998	
Sterling, Hon. Norman W. Minister of the Environment
83	Ontarians with Disabilities Act, 1998	
Bassett, Hon. Isabel Minister of Citizenship, Culture and Recreation
84	Nurses' Bill of Rights, 1998	
Bartolucci, Rick
85	Vintners Quality Alliance Act, 1998	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
86	Women's Institute Week Act, 1998	
Wildman, Charles "Bud" Jackson
87	Lower Property Taxes in Sudbury Act, 1998	
Bartolucci, Rick
88	Adoption Disclosure Statute Law Amendment Act, 1998	
Churley, Marilyn
89	Lower Property Taxes in Hamilton-Wentworth Act, 1998	
Agostino, Dominic
90	Automobile Insurance Consumer Protection Act, 1998	
Sampson, Hon. Rob Minister Without Portfolio
91	Highway Traffic Amendment Act (Paramedics), 1998	
Gerretsen, John
92	Emergency Volunteers Protection Act, 1998	
Flaherty, Hon. Jim Minister of Labour
93	Franchise Disclosure Act, 1998	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
94	Thistletown Centre Foundation Act, 1998	
Hastings, John
95	Fair Distribution of Medical Resources Act, 1998	
Martiniuk, Gerry
96	Supply Act, 1998	
Eves, Hon. Ernie Minister of Finance
97	Hummingbird Performing Arts Centre Corporation Act, 1998	
Silipo, Tony
98	Education Amendment Act (Mould Contamination in Portable Classrooms), 1998	
Wildman, Charles "Bud" Jackson
99	Balanced Budget and Taxpayer Protection Act, 1998	
Harris, Hon. Michael Premier
100	Tobacco Control Amendment Act, 1998	
Gilchrist, Steve
101	Red Tape Reduction Act, 1998 (No. 2)	
